public_path	node_kind	term_hint	action_hint	source_internal	transform_kind	null_policy	status	notes
xr.lines[]	list	BG-25..BG-32	repeat_or_group			omit_if_missing	todo	
xr.lines[].id	value	BT-126	map_value			omit_if_missing	todo	
xr.lines[].note	value	BT-127	map_value			omit_if_missing	todo	
xr.lines[].objectReference	object	BT-128	compose_object			omit_if_missing	todo	
xr.lines[].objectReference.id	value	BT-128	map_value			omit_if_missing	todo	
xr.lines[].objectReference.schemeId	value	BT-128 schemeId	map_value			omit_if_missing	todo	
xr.lines[].quantity	value	BT-129	map_value			omit_if_missing	todo	
xr.lines[].quantityUnitCode	value	BT-130	map_value			omit_if_missing	todo	
xr.lines[].lineExtensionAmount	value	BT-131	map_value			omit_if_missing	todo	
xr.lines[].accountingCost	value	BT-133	map_value			omit_if_missing	todo	
xr.lines[].orderLineReference	value	BT-132	map_value			omit_if_missing	todo	
xr.lines[].period	object	BG-26	compose_object			omit_if_missing	todo	
xr.lines[].period.startDate	value	BT-134	map_value			omit_if_missing	todo	
xr.lines[].period.endDate	value	BT-135	map_value			omit_if_missing	todo	
xr.lines[].allowances[]	list	BG-27	repeat_or_group			omit_if_missing	todo	
xr.lines[].allowances[].amount	value	BT-136	map_value			omit_if_missing	todo	
xr.lines[].allowances[].baseAmount	value	BT-137	map_value			omit_if_missing	todo	
xr.lines[].allowances[].percent	value	BT-138	map_value			omit_if_missing	todo	
xr.lines[].allowances[].reason	value	BT-139	map_value			omit_if_missing	todo	
xr.lines[].allowances[].reasonCode	value	BT-140	map_value			omit_if_missing	todo	
xr.lines[].charges[]	list	BG-28	repeat_or_group			omit_if_missing	todo	
xr.lines[].charges[].amount	value	BT-141	map_value			omit_if_missing	todo	
xr.lines[].charges[].baseAmount	value	BT-142	map_value			omit_if_missing	todo	
xr.lines[].charges[].percent	value	BT-143	map_value			omit_if_missing	todo	
xr.lines[].charges[].reason	value	BT-144	map_value			omit_if_missing	todo	
xr.lines[].charges[].reasonCode	value	BT-145	map_value			omit_if_missing	todo	
xr.lines[].price	object	BG-29	compose_object			omit_if_missing	todo	
xr.lines[].price.netAmount	value	BT-146	map_value			omit_if_missing	todo	
xr.lines[].price.discount	object	BT-147..148	compose_object			omit_if_missing	todo	
xr.lines[].price.discount.amount	value	BT-147	map_value			omit_if_missing	todo	
xr.lines[].price.discount.baseAmount	value	BT-148	map_value			omit_if_missing	todo	
